table_name,grantee,privileges
email_sync_states,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
email_sync_states,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_action_items,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_action_items,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_decisions,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_decisions,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_goals,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_goals,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_messages,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_messages,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_settings,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meeting_settings,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meetings,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
executive_meetings,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
financial_summary_cache,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
financial_summary_cache,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
integrations,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
integrations,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
invoice_line_items,authenticated,SELECT
invoices,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
invoices,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
knowledge_base_items,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
knowledge_base_items,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
oauth_tokens,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
oauth_tokens,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
onboarding_checklist,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
onboarding_checklist,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
onboarding_sessions,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
onboarding_sessions,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
plan_definitions,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
plan_definitions,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
platform_admins,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
platform_admins,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
profiles,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
profiles,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
quote_line_items,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
quote_line_items,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
quote_settings,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
quote_settings,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
quotes,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
quotes,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
receptionist_call_stats,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
receptionist_call_stats,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
receptionist_configs,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
receptionist_configs,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
support_articles,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
support_articles,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
support_conversations,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
support_conversations,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
support_messages,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
support_messages,authenticated,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
support_stats,anon,"DELETE, INSERT, REFERENCES, SELECT, TRIGGER, TRUNCATE, UPDATE"
